id,receipt_id,name,qty,unit_price,total_price
1,1,KELLOGGS COCO POPS 650GRAM,1,5.40,5.40
2,1,Kellogg's Nutri Grain 765GRAM,1,5.40,5.40
3,1,Kellogg's Just Right 700GRAM,1,5.40,5.40
4,1,INFUSIONS VEGGIE STR 90GRAM,2,2.15,4.30
5,1,HEINZ BROAD BEANS 500GRAM,1,6.40,6.40
6,1,CARMAN'S MUESLI 500GRAM,2,3.20,6.40
7,1,CARMAN'S MULTIGRAIN 150GRAM,1,2.95,2.95
8,1,CARMAN'S MULTIGRAIN 150GRAM,1,2.95,2.95
9,1,COLES EGGS FR RANGE 600GRAM,2,5.70,11.40
10,1,SO GOOD ALMOND 1 LITRE,1,2.20,2.20
11,1,COLES MULTI INSECT 300GRAM,1,3.50,3.50
12,1,COLES 2PLY FACE TISS 224PACK,1,2.00,2.00
13,1,COLES TWIN BLADE 16PACK,1,3.00,3.00
14,1,INDOMIE 5PK HOTSPICY 425GRAM,1,3.95,3.95
15,1,AMINS LAMB MINCE 500GRAM,1,17.00,17.00
16,1,2,2,8.50,17.00
17,1,LIBRA PADS EXTRA 14PACK,1,3.00,3.00
18,1,LIBRA PADS GOODNIGHT 10PACK,1,3.00,3.00
19,1,GOLD SUN CANOLA 4LITRE,1,12.00,12.00
20,1,PASONA GRAPE SE 1LITRE,1,3.00,3.00
21,1,EL-AMIN'S HALAL DRUM PERKG,1,8.53,8.53
22,1,SO GOOD DRINK SOY 1L 1LITRE,1,2.20,2.20
23,1,COLES GREEK YOGH 1KG,1,4.40,4.40
24,1,COLES LIGHT GREEK YO 1KG,1,4.40,4.40
25,2,W/Stru Sect Cont,1,3.00,3.00
26,2,Acrylic Keyrings 4,3,3.00,9.00
27,2,XSS Container 4L,1,9.00,9.00
28,2,XClear Drawer Lgra,2,6.50,13.00
29,2,Wire Fruit Bowl,1,12.00,12.00
30,2,27L Flip Top Bin,1,12.00,12.00
31,2,Quick Chopper,1,15.00,15.00
32,2,XStich Cylinder Btl,1,15.00,15.00
33,2,XCheck Basket,2,16.00,32.00
34,3,WATERMELON SEEDLESS,4.755,$1.49/kg,$7.09
35,3,WATERMELON SEEDLESS,5.155,$1.49/kg,$7.68
36,3,PEAR INDIAN PEARL,0.655,$3.49/kg,$2.29
37,3,TOMATO TRUSS,0.87,$2.99/kg,$2.60
38,3,BANANAS,0.595,$2.49/kg,$1.48
39,3,Bag,1,$0.10,$0.20
40,4,TOMATOES SPECIAL,0.755,$2.99/kg,$2.26
41,4,CAPSICUM GREEN,1.16,$3.99/kg,$4.63
42,4,CUCUMBERS,1.015,$4.99/kg,$5.06
